@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute other_parties {none,'co applicant',guarantor}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data
'no checking',15,'existing paid',1386,none,1,skilled,good
'no checking',24,'existing paid',1278,none,1,'high qualif/self emp/mgmt',good
<0,12,'existing paid',1107,none,1,'high qualif/self emp/mgmt',good
<0,21,'existing paid',3763,'co applicant',1,'unskilled resident',good
0<=X<200,36,'existing paid',3711,none,1,skilled,good
'no checking',15,'delayed previously',3594,none,2,'unskilled resident',good
0<=X<200,9,'existing paid',3195,none,1,'unskilled resident',good
'no checking',36,'delayed previously',4454,none,2,skilled,good
0<=X<200,24,'critical/other existing credit',4736,none,1,'unskilled resident',bad
0<=X<200,30,'existing paid',2991,none,1,skilled,good
'no checking',11,'existing paid',2142,none,1,skilled,good
<0,24,'all paid',3161,none,1,skilled,bad
0<=X<200,48,'no credits/all paid',18424,none,1,'high qualif/self emp/mgmt',bad
'no checking',10,'existing paid',2848,'co applicant',1,skilled,good
<0,6,'existing paid',14896,none,1,'high qualif/self emp/mgmt',bad
<0,24,'existing paid',2359,none,1,skilled,bad
<0,24,'existing paid',3345,none,1,'high qualif/self emp/mgmt',bad
'no checking',18,'critical/other existing credit',1817,none,2,skilled,good
'no checking',48,'delayed previously',12749,none,1,'high qualif/self emp/mgmt',good
<0,9,'existing paid',1366,none,1,skilled,bad
0<=X<200,12,'existing paid',2002,none,1,skilled,good
<0,24,'all paid',6872,none,1,skilled,bad
<0,12,'all paid',697,none,2,skilled,bad
<0,18,'critical/other existing credit',1049,none,1,skilled,good
<0,48,'existing paid',10297,none,3,skilled,bad
'no checking',30,'existing paid',1867,none,1,skilled,good
<0,12,'delayed previously',1344,none,2,'unskilled resident',good
<0,24,'existing paid',1747,'co applicant',1,'unskilled resident',good
0<=X<200,9,'existing paid',1670,none,1,skilled,bad
'no checking',9,'critical/other existing credit',1224,none,2,skilled,good
'no checking',12,'critical/other existing credit',522,none,2,skilled,good
<0,12,'existing paid',1498,none,1,skilled,good
0<=X<200,30,'delayed previously',1919,none,2,'high qualif/self emp/mgmt',bad
>=200,9,'existing paid',745,none,1,'unskilled resident',bad
0<=X<200,6,'existing paid',2063,none,1,'high qualif/self emp/mgmt',good
0<=X<200,60,'existing paid',6288,none,1,skilled,bad
'no checking',24,'critical/other existing credit',6842,none,2,'high qualif/self emp/mgmt',good
'no checking',12,'existing paid',3527,none,1,'high qualif/self emp/mgmt',good
'no checking',10,'existing paid',1546,none,1,'unskilled resident',good
'no checking',24,'existing paid',929,none,1,skilled,good
'no checking',4,'critical/other existing credit',1455,none,3,'unskilled resident',good
<0,15,'existing paid',1845,guarantor,1,skilled,good
0<=X<200,48,'no credits/all paid',8358,none,2,skilled,good
<0,24,'all paid',3349,none,1,skilled,bad
'no checking',12,'existing paid',2859,none,1,'high qualif/self emp/mgmt',good
'no checking',18,'existing paid',1533,'co applicant',1,'unskilled resident',bad
'no checking',24,'existing paid',3621,none,2,skilled,bad
0<=X<200,18,'critical/other existing credit',3590,none,3,'unemp/unskilled non res',good
<0,36,'delayed previously',2145,none,2,skilled,bad
0<=X<200,24,'existing paid',4113,none,1,skilled,bad
'no checking',36,'existing paid',10974,none,2,'high qualif/self emp/mgmt',bad
<0,12,'existing paid',1893,guarantor,1,skilled,good
<0,24,'critical/other existing credit',1231,none,2,'high qualif/self emp/mgmt',good
>=200,30,'critical/other existing credit',3656,none,2,'unskilled resident',good
0<=X<200,9,'critical/other existing credit',1154,none,3,'unskilled resident',good
<0,28,'existing paid',4006,none,1,'unskilled resident',bad
0<=X<200,24,'existing paid',3069,none,1,skilled,good
'no checking',6,'critical/other existing credit',1740,none,2,skilled,good
0<=X<200,21,'delayed previously',2353,none,2,skilled,good
'no checking',15,'existing paid',3556,none,1,skilled,good
'no checking',24,'existing paid',2397,none,2,skilled,bad
0<=X<200,6,'existing paid',454,none,1,'unskilled resident',good
0<=X<200,30,'existing paid',1715,none,1,skilled,good
0<=X<200,27,'critical/other existing credit',2520,none,2,'unskilled resident',bad
'no checking',15,'existing paid',3568,none,1,'high qualif/self emp/mgmt',good
'no checking',42,'existing paid',7166,none,1,skilled,good
<0,11,'critical/other existing credit',3939,none,2,'unskilled resident',good
0<=X<200,15,'existing paid',1514,guarantor,1,skilled,good
'no checking',24,'existing paid',7393,none,1,'unskilled resident',good
<0,24,'all paid',1193,'co applicant',2,'unemp/unskilled non res',bad
<0,60,'existing paid',7297,'co applicant',1,skilled,bad
'no checking',30,'critical/other existing credit',2831,none,1,skilled,good
>=200,24,'existing paid',1258,none,1,'unskilled resident',good
0<=X<200,6,'existing paid',753,guarantor,1,skilled,good
0<=X<200,18,'delayed previously',2427,none,2,skilled,good
'no checking',24,'delayed previously',2538,none,2,'unskilled resident',bad
0<=X<200,15,'all paid',1264,none,1,skilled,bad
0<=X<200,30,'critical/other existing credit',8386,none,1,skilled,bad
'no checking',48,'existing paid',4844,none,1,'high qualif/self emp/mgmt',bad
>=200,21,'existing paid',2923,none,1,'high qualif/self emp/mgmt',good
<0,36,'existing paid',8229,none,1,skilled,bad
'no checking',24,'critical/other existing credit',2028,none,2,'unskilled resident',good
<0,15,'critical/other existing credit',1433,none,2,skilled,good
>=200,42,'no credits/all paid',6289,none,2,skilled,good
'no checking',13,'existing paid',1409,none,1,skilled,good
<0,24,'existing paid',6579,none,1,'high qualif/self emp/mgmt',good
0<=X<200,24,'critical/other existing credit',1743,none,2,'unskilled resident',good
'no checking',12,'critical/other existing credit',3565,none,2,'unskilled resident',good
'no checking',15,'all paid',1569,none,1,'unskilled resident',good
<0,18,'existing paid',1936,none,2,'unskilled resident',good
<0,36,'existing paid',3959,none,1,'high qualif/self emp/mgmt',good
'no checking',12,'existing paid',2390,none,1,skilled,good
'no checking',12,'existing paid',1736,none,1,'unskilled resident',good
<0,30,'existing paid',3857,none,1,'high qualif/self emp/mgmt',good
'no checking',12,'existing paid',804,none,1,skilled,good
<0,45,'existing paid',1845,none,1,skilled,bad
0<=X<200,45,'critical/other existing credit',4576,none,1,skilled,good
